period,flow,sector,hs6,primaryValue,quantity_kg
2020,Export,fertilizers,310590,12939621,3313818
2020,Export,hydrogen_2804,280410,5867,8947
2020,Export,iron_steel_72,260112,70147073,1019963895
2020,Export,iron_steel_72,720110,271434,545950
2020,Export,iron_steel_72,720241,3738,5306
2020,Export,iron_steel_72,720260,3057,233
2020,Export,iron_steel_72,720310,23864388,73753400
2020,Export,iron_steel_72,720390,36578157,119778001
2020,Export,iron_steel_72,720510,2984384,74166
2020,Export,iron_steel_72,720521,24934992,4319138
2020,Export,iron_steel_72,720529,13109929,8929673
2020,Export,iron_steel_72,720610,115554,92202
2020,Export,iron_steel_72,720810,514331,735553
2020,Export,iron_steel_72,720825,119792,119640
2020,Export,iron_steel_72,720826,5000,7206
2020,Export,iron_steel_72,720827,108299,95952
2020,Export,iron_steel_72,720836,19269,50868
2020,Export,iron_steel_72,720837,28532,43592
2020,Export,iron_steel_72,720839,3504,5627
2020,Export,iron_steel_72,720840,43311,32638
2020,Export,iron_steel_72,720851,358469,274350
2020,Export,iron_steel_72,720852,409532,307852
2020,Export,iron_steel_72,720853,59554,63744
2020,Export,iron_steel_72,720854,70024,38161
2020,Export,iron_steel_72,720890,214466,36024
2020,Export,iron_steel_72,720915,38308,58195
2020,Export,iron_steel_72,720916,107822,110187
2020,Export,iron_steel_72,720917,833516,448777
2020,Export,iron_steel_72,720918,401703,174839
2020,Export,iron_steel_72,720925,35349,46932
2020,Export,iron_steel_72,720926,8322,2647
2020,Export,iron_steel_72,720927,387781,266472
2020,Export,iron_steel_72,720990,193302,121125
2020,Export,iron_steel_72,721012,794961,1664583
2020,Export,iron_steel_72,721020,1978720,234071
2020,Export,iron_steel_72,721030,487628,342118
2020,Export,iron_steel_72,721041,51040,36565
2020,Export,iron_steel_72,721049,2443805,1884578
2020,Export,iron_steel_72,721050,3753973,3698424
2020,Export,iron_steel_72,721061,215625,196029
2020,Export,iron_steel_72,721069,11075,4946
2020,Export,iron_steel_72,721070,99720,38942
2020,Export,iron_steel_72,721090,753758,197303
2020,Export,iron_steel_72,721210,7958,0
2020,Export,iron_steel_72,721220,74294,41358
2020,Export,iron_steel_72,721230,19537,16831
2020,Export,iron_steel_72,721240,686740,298200
2020,Export,iron_steel_72,721250,15574096,4833922
2020,Export,iron_steel_72,721260,1643909,492967
2020,Export,iron_steel_72,721310,19421,18635
2020,Export,iron_steel_72,721320,140618,8979
2020,Export,iron_steel_72,721391,143862,75531
2020,Export,iron_steel_72,721399,10975,4476
2020,Export,iron_steel_72,721420,33605,50132
2020,Export,iron_steel_72,721510,22909,6929
2020,Export,iron_steel_72,721550,414296,216751
2020,Export,iron_steel_72,721590,1352886,634454
2020,Export,iron_steel_72,721610,9070,4666
2020,Export,iron_steel_72,721621,572744,604150
2020,Export,iron_steel_72,721622,4247,7150
2020,Export,iron_steel_72,721631,79910,51092
2020,Export,iron_steel_72,721632,160531,266585
2020,Export,iron_steel_72,721633,25077,16336
2020,Export,iron_steel_72,721640,759407,699476
2020,Export,iron_steel_72,721650,61003,63720
2020,Export,iron_steel_72,721669,52427,60059
2020,Export,iron_steel_72,721691,959107,868716
2020,Export,iron_steel_72,721699,4360104,184589
2020,Export,iron_steel_72,721710,1810453,1327789
2020,Export,iron_steel_72,721720,79888,70650
2020,Export,iron_steel_72,721810,5296672,147116
2020,Export,iron_steel_72,721911,95074,22232
2020,Export,iron_steel_72,721931,436477,151680
2020,Export,iron_steel_72,722100,2670093,124427
2020,Export,iron_steel_72,722300,17259540,219155
2020,Export,iron_steel_72,722410,6528749,1296248
2020,Export,iron_steel_72,722511,5613482,2616551
2020,Export,iron_steel_72,722530,116535,140214
2020,Export,iron_steel_72,722550,423074,172201
2020,Export,iron_steel_73,730110,142695,18078
2020,Export,iron_steel_73,730120,15428376,2027218
2020,Export,iron_steel_73,730210,546513,268862
2020,Export,iron_steel_73,730230,31572,6926
2020,Export,iron_steel_73,730290,110749,20782
2020,Export,iron_steel_73,730300,177053,26287
2020,Export,iron_steel_73,730419,1479661,538085
2020,Export,iron_steel_73,730439,8742513,1593963
2020,Export,iron_steel_73,730511,195056,23064
2020,Export,iron_steel_73,730512,39736,18476
2020,Export,iron_steel_73,730519,1624333,1207397
2020,Export,iron_steel_73,730520,1417917,262664
2020,Export,iron_steel_73,730531,81655,6440
2020,Export,iron_steel_73,730539,23699,8345
2020,Export,iron_steel_73,730590,383860,71152
2020,Export,iron_steel_73,730619,1085136,563900
2020,Export,iron_steel_73,730630,4069281,1605058
2020,Export,iron_steel_73,730721,9760490,230093
2020,Export,iron_steel_73,730791,4147832,282248
2020,Export,iron_steel_73,730810,3887688,739440
2020,Export,iron_steel_73,730820,1587363,327123
2020,Export,iron_steel_73,730830,2429570,203730
2020,Export,iron_steel_73,730840,5459544,1491752
2020,Export,iron_steel_73,730890,19063816,2349781
2020,Export,iron_steel_73,730900,21355953,2855094
2020,Export,iron_steel_73,731010,9741471,2202553
2020,Export,iron_steel_73,731021,307916,50335
2020,Export,iron_steel_73,731029,10122133,3259086
2020,Export,iron_steel_73,731100,98743210,5471810
2020,Export,iron_steel_73,731815,121429107,6106787
2020,Export,iron_steel_73,731816,75408312,1971420
2020,Export,iron_steel_73,731822,16813074,1771974
2020,Export,iron_steel_73,731823,7074639,274177
2020,Export,iron_steel_73,732690,358788251,41037693
2020,Import,aluminum_76,760110,4430951,307429
2020,Import,aluminum_76,760120,38919890,7116978
2020,Import,aluminum_76,760310,8691080,1437162
2020,Import,aluminum_76,760320,6500399,282113
2020,Import,aluminum_76,760410,6697400,883216
